Name,Length,gene,product,reads,reads-with-tail,mean-tail,proportion-with-tail
NM_001261919/NM_001261918,6617,R119.5,"Protein R119.5, isoform a/Protein R119.5, isoform b",85.0,80.0,42.8375,0.941176470588
NM_058330,6750,Y50C1A.2,Protein Y50C1A.2,22.0,8.0,39.0,0.363636363636
NM_058334,5475,W04C9.5,Protein W04C9.5,100.0,80.0,21.825,0.8
NM_058336,6512,W04C9.6,Protein W04C9.6,49.0,36.0,49.7222222222,0.734693877551
NM_058339,6801,Y65B4BL.3,Protein Y65B4BL.3,967.0,947.0,52.4424498416,0.979317476732
NM_058340,4151,Y65B4BL.4,Protein Y65B4BL.4,550.0,326.0,41.8312883436,0.592727272727
NM_058342,2866,Y65B4BL.7,Protein Y65B4BL.7,188.0,104.0,42.9423076923,0.553191489362
NM_058343,5917,acs-13,Protein ACS-13,8828.0,8545.0,41.6277355178,0.967942908926
NM_001129077/NM_001129076,2073,Y65B4BL.6,"Protein Y65B4BL.6, isoform b/Protein Y65B4BL.6, isoform a",7843.0,7764.0,47.3776403916,0.989927323728
NR_049911,1289,Y65B4BL.12,,1.0,1.0,9.0,1.0
NR_049912,1128,Y65B4BR.10,,0.0,0.0,NA,NA
NM_001026626,1952,ceh-9,Protein CEH-9,39.0,38.0,39.5526315789,0.974358974359
NM_058353/NM_182075,3630,grl-16,"Protein GRL-16, isoform a/Protein GRL-16, isoform b",6643.0,6309.0,48.8169281978,0.949721511365
NM_001026333,2314,F56A6.5,Protein F56A6.5,1.0,1.0,102.0,1.0
NM_001261951/NM_001261950,22712,hum-7,"Protein HUM-7, isoform a/Protein HUM-7, isoform b",848.0,457.0,20.7024070022,0.53891509434
NM_058356,15722,F56A6.4,Protein F56A6.4,221.0,102.0,31.3333333333,0.461538461538
NR_101516,1213,Y65B4A.10,,4537.0,4411.0,45.5107685332,0.972228344721
NR_101517,1110,Y65B4A.11,,56.0,48.0,37.4166666667,0.857142857143
NM_058360,6241,Y65B4A.6,Protein Y65B4A.6,60.0,16.0,33.6875,0.266666666667
NM_058363,2587,Y65B4A.7,Protein Y65B4A.7,84.0,84.0,38.6428571429,1.0
NM_058365,4545,Y65B4A.8,Protein Y65B4A.8,821.0,812.0,47.2709359606,0.989037758831
NM_058366,4183,Y65B4A.9,Protein Y65B4A.9,969.0,788.0,22.5964467005,0.813209494324
NM_001026562,7799,Y18H1A.14,Protein Y18H1A.14,16.0,14.0,24.4285714286,0.875
NM_058367,3637,Y18H1A.10,Protein Y18H1A.10,101.0,94.0,41.4042553191,0.930693069307
NM_058369,3448,Y18H1A.4,Protein Y18H1A.4,899.0,729.0,43.3676268861,0.810901001112
NM_058370,4210,Y18H1A.2,Protein Y18H1A.2,1818.0,1107.0,26.6214995483,0.608910891089
NM_058371,16217,Y18H1A.3,Protein Y18H1A.3,4337.0,4176.0,40.8747605364,0.962877565137
NM_058372,2560,Y18H1A.7,Protein Y18H1A.7,1060.0,1043.0,50.2598274209,0.983962264151
NM_001026563,6483,Y18H1A.15,Protein Y18H1A.15,300.0,293.0,50.2218430034,0.976666666667
NM_001047236,4451,col-46,Protein COL-46,1216.0,1079.0,44.3558850788,0.887335526316
NM_058375/NR_072346--1-of-3,9442,Y18H1A.9/C53C7.6,Protein Y18H1A.9,732.0,709.0,35.1664315938,0.968579234973
NM_058377,1888,mps-3,Protein MPS-3,319.0,316.0,51.0411392405,0.990595611285
NR_049919,1146,T06A4.4,,0.0,0.0,NA,NA
NR_049922,1299,Y73A3A.1,,0.0,0.0,NA,NA
NR_049923,1144,Y73A3A.2,,0.0,0.0,NA,NA
NR_049927,1148,ZC123.7,,0.0,0.0,NA,NA
NM_058382/NM_001026671/NM_182008,5910,ZC123.4,"Protein ZC123.4, isoform a/Protein ZC123.4, isoform c/Protein ZC123.4, isoform b",1187.0,769.0,45.7542262679,0.647851727043
NM_058386/NR_051839/NM_001129083,10233,Y54G9A.11/pde-6,"Protein PDE-6, isoform a/Protein PDE-6, isoform b",1089.0,964.0,39.5860995851,0.885215794307
NM_058388,6168,him-19,Protein HIM-19,334.0,309.0,44.4724919094,0.925149700599
NM_001129087/NM_001129086/NM_001129085/NM_001129084/NM_001037904/NM_001037903,15437,Y95B8A.12,"Protein Y95B8A.12, isoform f/Protein Y95B8A.12, isoform e/Protein Y95B8A.12, isoform d/Protein Y95B8A.12, isoform c/Protein Y95B8A.12, isoform b/Protein Y95B8A.12, isoform a",239.0,182.0,44.1703296703,0.761506276151
NR_050996/NM_001026573/NM_058395/NR_052806/NM_058397/NM_058398/NM_058399/NM_058400/NM_058401/NR_049939/NM_058406/NM_058405/NM_058407/NM_058408/NM_001083151/NM_001083150/NM_058415/NM_058417/NM_058419/NR_052813/NM_058424/NM_170798/NR_049942/NM_058427/NM_001262043/NM_058434/NM_058435/NM_058436/NR_049946/NR_049948/NR_049949/NM_058442/NM_058445/NM_058446/NM_058450/NM_058452/NM_058454/NR_049950/NR_049951/NM_058460/NR_049952/NR_049953/NM_058467/NM_058468/NM_058470/NM_058471/NM_058474/NM_001026649,711665,T12C9.8/mig-1/Y49E10.31/cutl-20/shc-1/C54G6.7/madf-6/mrpl-38/spd-1/Y34D9A.8/vps-4/R06A10.3/R06A10.4/BE10.7/Y48G8AL.10/aps-3/Y48G8AL.18/haf-6/Y48G8AL.16/Y48G8AL.12/Y48G8AL.13/grh-1/Y48G8AR.6/Y48G8AR.4/K12C11.8/K12C11.1/Y92H12BL.4/Y92H12BM.1/Y92H12BR.2/Y92H12BR.4/F37F2.2/F47G6.6/21ur-13232/Y92H12A.5/21ur-12465/Y92H12A.8/cpx-1/Y73E7A.5/Y73E7A.6/bre-4/mab-20,"Protein MIG-1, isoform b/Protein MIG-1, isoform a/Protein CUTL-20/Protein SHC-1, isoform a/Protein SHC-1, isoform b/Protein SHC-1, isoform d/Protein SHC-1, isoform c/Protein MADF-6, isoform b/Protein MADF-6, isoform a/Protein MRPL-38/Protein SPD-1/Protein Y34D9A.8, isoform b/Protein Y34D9A.8, isoform a/Protein VPS-4/Protein R06A10.3/Protein R06A10.4/Protein Y48G8AL.10/Protein APS-3/Protein HAF-6/Protein Y48G8AL.16/Protein Y48G8AL.12/Protein Y48G8AL.13/Protein GRH-1/Protein K12C11.1/Protein Y92H12BL.4/Protein Y92H12BM.1/Protein Y92H12BR.2/Protein Y92H12BR.4/Protein F37F2.2/Protein Y92H12A.5/Protein CPX-1/Protein Y73E7A.5/Protein Y73E7A.6/Protein BRE-4/Protein MAB-20, isoform a/Protein MAB-20, isoform b",46617.0,36269.0,38.6417601809,0.778020893665
NM_058476,2038,pqn-88,Protein PQN-88,58.0,56.0,42.0535714286,0.965517241379
NM_001026655,6690,Y71G12B.33,Protein Y71G12B.33,28.0,28.0,50.0,1.0
NM_058477,4283,Y71G12B.22,Protein Y71G12B.22,181.0,173.0,31.8323699422,0.955801104972
NM_001026651/NM_001026650,3618,Y71G12B.23,"Protein Y71G12B.23, isoform b/Protein Y71G12B.23, isoform a",387.0,342.0,26.3070175439,0.883720930233
NM_001262100,4560,Y71G12B.35,Protein Y71G12B.35,157.0,133.0,31.962406015,0.847133757962
NM_001026653,6396,Y71G12B.31,Protein Y71G12B.31,84.0,75.0,50.52,0.892857142857
NR_049956,1111,Y71G12B.36,,0.0,0.0,NA,NA
NM_058487,11293,mppa-1,Protein MPPA-1,842.0,751.0,36.2836218375,0.891923990499
NM_058491,5375,Y71G12B.25,Protein Y71G12B.25,2572.0,2507.0,48.1272437176,0.974727838258
NM_058492,3723,Y71G12B.26,Protein Y71G12B.26,105.0,86.0,49.2906976744,0.819047619048
NM_058495,2207,Y71G12B.27,Protein Y71G12B.27,491.0,441.0,61.0997732426,0.89816700611
NM_001026654,2916,Y71G12B.32,Protein Y71G12B.32,88.0,86.0,39.1744186047,0.977272727273
NM_001026652,5342,Y71G12B.30,Protein Y71G12B.30,189.0,168.0,60.1011904762,0.888888888889
NM_001047179,1255,C53H9.3,Protein C53H9.3,4951.0,4263.0,34.7952146376,0.861038174106
NR_049958,1067,M01D7.10,,40.0,40.0,55.375,1.0
NM_001083140,4394,M01D7.9,Protein M01D7.9,0.0,0.0,NA,NA
NM_058509,3687,M01D7.1,Protein M01D7.1,1.0,1.0,77.0,1.0
NM_058510,10309,scm-1,Protein SCM-1,3343.0,3077.0,42.4153396165,0.920430750823
NM_058513,10659,Y71G12A.4,Protein Y71G12A.4,82.0,43.0,60.8604651163,0.524390243902
NM_170807,3061,Y51F10.7,Protein Y51F10.7,8506.0,7386.0,46.7890603845,0.86832823889
NR_101525,1123,anr-19,,33.0,32.0,76.125,0.969696969697
NM_170811,8682,Y51F10.10,Protein Y51F10.10,1951.0,1919.0,41.9249609171,0.983598154792
NM_058515,22757,gap-3,Protein GAP-3,75.0,71.0,39.9436619718,0.946666666667
NM_058517,10250,Y20F4.4,Protein Y20F4.4,456.0,412.0,51.3616504854,0.90350877193
NM_001026565,2038,Y20F4.8,Protein Y20F4.8,15.0,13.0,24.7692307692,0.866666666667
NM_058521,3207,Y37E3.1,Protein Y37E3.1,613.0,532.0,43.1766917293,0.867862969005
NR_049961,1134,Y37E3.26,,0.0,0.0,NA,NA
NM_170818,1385,rla-1,Protein RLA-1,416443.0,263042.0,30.0681031926,0.631639864279
NM_058527/NM_058526/NR_003393/NR_003392,1884,Y37E3.8/Y37E3.22/Y37E3.21,"Protein Y37E3.8, isoform b/Protein Y37E3.8, isoform a",230977.0,167105.0,23.9769845307,0.723470302238
NR_049963,1219,Y37E3.27,,2.0,1.0,78.0,0.5
NR_049964,1222,Y37E3.29,,0.0,0.0,NA,NA
NM_058532,9124,iglr-3,Protein IGLR-3,112.0,91.0,37.5714285714,0.8125
NR_052037,1020,Y50D7A.16,,0.0,0.0,NA,NA
NM_001047237,2173,Y37E3.19,Protein Y37E3.19,86.0,71.0,47.7464788732,0.825581395349
NM_001037896,5735,fpn-1.1,Protein FPN-1.1,667.0,654.0,46.8256880734,0.980509745127
NM_058541,3748,W03F11.1,Protein W03F11.1,150.0,47.0,49.2765957447,0.313333333333
NM_058542,10839,gcy-17,Protein GCY-17,12.0,4.0,28.5,0.333333333333
NM_058543,2069,dct-9,Protein DCT-9,185.0,185.0,48.4594594595,1.0
NM_058544,6717,W03F11.4,Protein W03F11.4,200.0,137.0,34.8540145985,0.685
NM_058548/NR_050574/NM_058551/NM_170821/NM_170822/NM_058555/NR_049972/NM_058561/NM_001262210/NM_058562/NM_058563/NM_058568/NM_170825/NM_170824/NR_049977/NM_058572/NM_058573/NM_058574/NM_058575/NM_058576/NM_058580/NM_058581/NM_058582/NM_182064/NM_058584/NM_001026659,230231,abt-2/ZK1025.13/cdk-7/tpxl-1/icp-1/Y39G10AR.30/mcm-4/Y39G10AR.32/Y39G10AR.15/Y39G10AR.16/sydn-1/Y39G10AR.18/Y39G10AR.26/F23C8.5/F23C8.6/F23C8.7/F23C8.8/F23C8.9/F23C8.11/F23C8.12/inx-19/Y74C10AL.2/abtm-1,"Protein ABT-2/Protein CDK-7/Protein TPXL-1, isoform a/Protein TPXL-1, isoform b/Protein ICP-1/Protein MCM-4/Protein Y39G10AR.32/Protein Y39G10AR.15/Protein Y39G10AR.16/Protein SYDN-1/Protein Y39G10AR.18, isoform b/Protein Y39G10AR.18, isoform a/Protein F23C8.5/Protein F23C8.6/Protein F23C8.7/Protein F23C8.8/Protein F23C8.9/Protein F23C8.11/Protein F23C8.12/Protein INX-19, isoform a/Protein INX-19, isoform b/Protein Y74C10AL.2/Protein ABTM-1",60068.0,53931.0,45.7822217278,0.897832456549
NM_170827/NM_170828/NM_058590,7818,Y23H5B.7,"Protein Y23H5B.7, isoform a/Protein Y23H5B.7, isoform b/Protein Y23H5B.7, isoform c",5.0,0.0,NA,0.0
NR_003390,1144,Y23H5B.10,,1.0,1.0,23.0,1.0
NM_058593,2362,Y23H5B.8,Protein Y23H5B.8,87.0,73.0,45.0,0.83908045977
NM_058595,1216,nspd-8,Protein NSPD-8,0.0,0.0,NA,NA
NR_070389/NM_058601/NM_058602/NM_182011/NM_058603/NM_001026389/NM_001026388/NR_049981/NR_049982/NR_049984/NM_058613/NM_058612/NM_058618/NM_058619/NR_049985/NM_058621/NR_049990/NM_058622/NR_049992/NR_049994/NM_058629/NM_058630/NM_058634/NM_058635/NM_058636/NM_001129081/NM_001026640/NM_170837/NM_058640/NM_058639/NM_182045/NM_058641/NM_058642/NM_058643/NM_058645/NM_001262314/NM_001262313/NM_058651/NR_101530/NM_058652/NR_101531/NR_050003/NM_058653/NR_050004/NR_050006/NR_050009/NM_058655/NM_182056/NM_058656/NM_001026504/NM_058659/NM_058661/NM_058660/NR_002354/NR_002353/NR_050012/NR_050013/NM_058664/NM_058665/NR_101532/NM_058668/NM_058671/NM_001129080/NM_001026638,396763,D1005.9/aat-5/fbp-1/ptr-12/K07A3.4/Y23H5A.11/Y23H5A.9/cars-1/F40E3.5/F40E3.6/F40E3.9/F32B5.7/F32B5.15/cpz-1/F32B5.16/Y71F9B.21/dnj-30/Y71F9B.6/lron-11/plk-2/Y71F9B.9/sop-3/Y71F9B.13/Y71F9B.14/Y71F9B.15/W03D8.9/W03D8.1/W03D8.2/W03D8.3/W03D8.13/pop-1/W10C8.17/W10C8.12/W10C8.3/W10C8.13/W10C8.15/W10C8.11/W10C8.4/W10C8.5/W10C8.6/Y71F9AL.12/rpl-1/Y71F9AL.19/Y71F9AL.20/dnc-5/arx-1/Y71F9AL.24/Y71F9AL.17/pme-1/Y71F9AM.8/bam-2,"Protein AAT-5, isoform a/Protein AAT-5, isoform b/Protein AAT-5, isoform c/Protein FBP-1/Protein PTR-12, isoform b/Protein PTR-12, isoform a/Protein CARS-1, isoform b/Protein CARS-1, isoform a/Protein F40E3.5/Protein F40E3.6/Protein F32B5.7/Protein CPZ-1/Protein DNJ-30/Protein Y71F9B.6/Protein LRON-11/Protein PLK-2/Protein Y71F9B.9, isoform a/Protein Y71F9B.9, isoform b/Protein SOP-3, isoform b/Protein SOP-3, isoform a/Protein Y71F9B.13, isoform b/Protein Y71F9B.13, isoform a/Protein Y71F9B.13, isoform c/Protein Y71F9B.14/Protein Y71F9B.15/Protein W03D8.9/Protein W03D8.1/Protein W03D8.2, isoform a/Protein W03D8.2, isoform b/Protein W03D8.3/Protein POP-1/Protein W10C8.3/Protein W10C8.4, isoform a/Protein W10C8.4, isoform b/Protein W10C8.5/Protein W10C8.6/Protein Y71F9AL.12/Protein RPL-1, isoform b/Protein RPL-1, isoform a/Protein DNC-5/Protein ARX-1/Protein Y71F9AL.17/Protein PME-1/Protein Y71F9AM.8/Protein BAM-2",207873.0,155573.0,38.8115032814,0.748404073641
NR_050017,1125,Y71F9AR.9,,0.0,0.0,NA,NA
NR_050018,1082,Y71F9AR.8,,0.0,0.0,NA,NA
NR_050020,1054,Y71F9AR.6,,0.0,0.0,NA,NA
NM_001083156,2338,Y71F9AR.4,Protein Y71F9AR.4,2440.0,1891.0,45.203595981,0.775
NM_058681,2905,Y71F9AR.2,Protein Y71F9AR.2,33.0,25.0,43.96,0.757575757576
NM_058682/NR_070194,10727,Y71F9AR.3/Y17D7C.7,Protein Y71F9AR.3,154.0,139.0,41.8920863309,0.902597402597
NM_058684,2374,nduf-5,Protein NDUF-5,3663.0,2745.0,35.6083788707,0.749385749386
NM_058686,8417,mek-2,Protein MEK-2,5838.0,5788.0,47.1518659295,0.99143542309
NM_058691,3617,Y54E10BR.5,Protein Y54E10BR.5,3759.0,3356.0,42.376340882,0.892790635807
NM_058692,2601,rpb-7,Protein RPB-7,1741.0,1605.0,44.9894080997,0.921883974727
NM_058694,13557,mod-5,Protein MOD-5,208.0,196.0,44.2908163265,0.942307692308
NM_058695,7944,ztf-23,Protein ZTF-23,206.0,203.0,39.881773399,0.985436893204
NM_058698,1645,arx-7,Protein ARX-7,760.0,704.0,34.046875,0.926315789474
NM_170840/NM_170839/NM_171834,13599,M01B12.4,"Protein M01B12.4, isoform c/Protein M01B12.4, isoform a/Protein M01B12.4, isoform b",51.0,40.0,30.025,0.78431372549
NM_001026399/NM_001026400,5924,riok-1,"Protein RIOK-1, isoform a/Protein RIOK-1, isoform b",30.0,6.0,25.0,0.2
NR_050024,1073,C45E1.6,,1.0,1.0,9.0,1.0
NM_001262377,2025,C45E1.5,Protein C45E1.5,20.0,19.0,39.3684210526,0.95
NM_058703,3194,C45E1.4,Protein C45E1.4,232.0,137.0,37.6642335766,0.590517241379
NM_001262379,3221,K09H9.9,Protein K09H9.9,24.0,22.0,44.9090909091,0.916666666667
NM_001129021,2971,K09H9.8,Protein K09H9.8,530.0,496.0,33.8387096774,0.935849056604
NM_182072,2436,K09H9.5,Protein K09H9.5,295.0,244.0,40.6680327869,0.827118644068
NM_058707,4264,lpd-6,Protein LPD-6,2302.0,623.0,45.4991974318,0.270634231103
NM_058709,2202,K09H9.7,Protein K09H9.7,851.0,669.0,45.2720478326,0.786133960047
NR_101535,1212,K09H9.11,,4973.0,4487.0,41.8885669713,0.902272270259
NM_058712/NM_058711/NM_001026622,3520,vbh-1,"Protein VBH-1, isoform a/Protein VBH-1, isoform b/Protein VBH-1, isoform c",347.0,329.0,56.7112462006,0.948126801153
NM_058716,3952,Y54E10A.10,Protein Y54E10A.10,1552.0,1431.0,39.822501747,0.922036082474
NM_058717,17185,Y54E10A.11,Protein Y54E10A.11,632.0,608.0,40.2598684211,0.962025316456
NM_058719,6173,Y54E10A.12,Protein Y54E10A.12,316.0,292.0,44.8253424658,0.924050632911
NM_058720,4690,Y54E10A.13,Protein Y54E10A.13,2.0,2.0,16.0,1.0
NM_058724,6531,rom-5,Protein ROM-5,2404.0,2320.0,45.6745689655,0.965058236273
NM_001047242,5349,cdt-1,Protein CDT-1,489.0,483.0,39.2732919255,0.98773006135
NM_058728,2489,mab-31,Protein MAB-31,1429.0,1232.0,38.6347402597,0.862141357593
NR_050028,1285,Y54E10A.26,,0.0,0.0,NA,NA
NR_050754/NR_050035/NM_058731/NM_001047238/NM_058732/NM_058736/NM_001129055/NR_002350/NM_058738/NM_058740/NM_058741/NM_058742/NM_170842/NM_171835/NM_001037893/NM_058749/NM_001262432/NM_001262429/NM_001037895/NM_001037894/NM_001262433/NR_101537/NM_058759/NM_058761/NM_058763/NR_101539/NM_001026590/NM_058769/NR_051949/NM_058771/NM_001129067/NM_001026591/NM_001026595/NR_101541/NM_001026592/NM_058775/NM_058776/NM_170843/NM_001026593/NR_101642--1-of-3/NR_050692--1-of-4/NR_060736--1-of-4/NM_001026594/NM_058781/NM_170844,351802,Y105E8A.45/Y54E10A.23/zip-4/pqn-72/W01B11.6/ace-2/trx-4/Y44E3A.4/Y44E3A.6/W05F2.2/W05F2.3/W05F2.4/anr-45/sep-1/Y47G6A.13/Y47G6A.14/Y47G6A.36/Y47G6A.15/Y47G6A.17/2RSSE.6/Y47G6A.18/Y47G6A.30/Y47G6A.38/Y47G6A.19/rnp-6/Y47G6A.21/Y6B3B.15/Y6B3B.14/Y57G11C.1141/Y47G6A.22/lpd-3/Y47G6A.29,"Protein ZIP-4, isoform a/Protein ZIP-4, isoform c/Protein ZIP-4, isoform b/Protein PQN-72, isoform a/Protein PQN-72, isoform b/Protein W01B11.6, isoform a/Protein ACE-2/Protein TRX-4/Protein Y44E3A.4/Protein Y44E3A.6, isoform a/Protein Y44E3A.6, isoform b/Protein W05F2.2/Protein W05F2.3/Protein W05F2.4, isoform d/Protein W05F2.4, isoform c/Protein W05F2.4, isoform b/Protein W05F2.4, isoform a/Protein W05F2.4, isoform e/Protein SEP-1/Protein Y47G6A.13/Protein Y47G6A.14/Protein Y47G6A.15/Protein Y47G6A.17/Protein Y47G6A.18/Protein Y47G6A.19, isoform c/Protein Y47G6A.19, isoform a/Protein Y47G6A.30/Protein Y47G6A.19, isoform b/Protein RNP-6, isoform b/Protein RNP-6, isoform a/Protein RNP-6, isoform c/Protein Y47G6A.21/Protein Y47G6A.22/Protein LPD-3/Protein Y47G6A.29",37685.0,32600.0,42.2869631902,0.865065675998
NM_058783/NM_001129068,2016,mis-12,"Protein MIS-12, isoform a/Protein MIS-12, isoform b",676.0,603.0,39.5605306799,0.89201183432
NM_058784,2814,Y47G6A.25,Protein Y47G6A.25,468.0,197.0,37.6700507614,0.42094017094
NM_058787,1689,Y47G6A.26,Protein Y47G6A.26,451.0,377.0,48.2201591512,0.835920177384
NM_001026473/NM_001026474,6191,jmjc-1,"Protein JMJC-1, isoform a/Protein JMJC-1, isoform b",608.0,560.0,37.1642857143,0.921052631579
NM_058792,5924,ccb-1,Protein CCB-1,412.0,304.0,36.0230263158,0.73786407767
NM_058793,2304,col-50,Protein COL-50,449.0,328.0,29.3140243902,0.730512249443
NM_058795,7528,acd-5,Protein ACD-5,183.0,154.0,41.2987012987,0.841530054645
NM_058796,5538,smp-2,Protein SMP-2,1775.0,1731.0,54.5303292894,0.975211267606
NM_058797,1610,ftn-2,Protein FTN-2,69649.0,67344.0,49.0257335472,0.966905483209
NM_058798,1789,rab-8,Protein RAB-8,3331.0,2757.0,44.5640188611,0.827679375563
NM_058800,4834,D1037.5,Protein D1037.5,121.0,111.0,46.2522522523,0.917355371901
NM_058801,4165,msh-2,Protein MSH-2,716.0,319.0,36.4231974922,0.445530726257
NR_050044,1021,21ur-13866,,0.0,0.0,NA,NA
NM_058803,4124,F21A9.2,Protein F21A9.2,107.0,105.0,40.4857142857,0.981308411215
NM_058805,8297,lin-59,Protein LIN-59,1130.0,934.0,25.9689507495,0.826548672566
NM_182024/NM_058808,7737,larp-5,"Protein LARP-5, isoform b/Protein LARP-5, isoform a",4236.0,3893.0,44.0017980992,0.919027384325
NR_050046,1144,Y8G1A.3,,0.0,0.0,NA,NA
NM_058811,6156,inx-13,Protein INX-13,7252.0,6775.0,42.4839852399,0.934225041368
NM_058812,4389,inx-12,Protein INX-12,11290.0,10888.0,38.0923034533,0.964393268379
NM_001262507,1573,C32E8.12,Protein C32E8.12,11.0,11.0,53.3636363636,1.0
NM_058815,4413,ric-19,Protein RIC-19,73.0,53.0,51.8867924528,0.72602739726
NM_058820,4382,ptr-2,Protein PTR-2,360.0,250.0,39.748,0.694444444444
NM_058821,4422,C32E8.9,Protein C32E8.9,194.0,136.0,36.7720588235,0.701030927835
NM_001025844/NM_058829/NM_058828/NM_058827/NM_058826/NM_001025845/NM_001025843,7534,unc-11,"Protein UNC-11, isoform e/Protein UNC-11, isoform f/Protein UNC-11, isoform d/Protein UNC-11, isoform c/Protein UNC-11, isoform a/Protein UNC-11, isoform h/Protein UNC-11, isoform b",4029.0,3638.0,45.0307861462,0.902953586498
NM_058830,9898,ubr-1,Protein UBR-1,3293.0,3082.0,43.1093445814,0.935924688734
NR_000052,1323,F53F10.7,,1.0,1.0,13.0,1.0
NM_058835,4588,F53F10.1,Protein F53F10.1,246.0,204.0,41.3774509804,0.829268292683
NM_058836,2043,gsp-4,Protein GSP-4,908.0,793.0,46.6204287516,0.873348017621
NM_058838/NM_058837,2563,T03F1.6,"Protein T03F1.6, isoform a/Protein T03F1.6, isoform b",87.0,81.0,46.8641975309,0.931034482759
NM_058841,6047,T03F1.7,Protein T03F1.7,887.0,367.0,39.6675749319,0.413754227734
NM_058842/NM_001129039,3869,guk-1,"Protein GUK-1, isoform a/Protein GUK-1, isoform b",1665.0,1547.0,39.3846153846,0.929129129129
NM_058843,4003,hcp-4,Protein HCP-4,775.0,575.0,41.0034782609,0.741935483871
NR_101543,1626,linc-63,,67.0,66.0,23.1060606061,0.985074626866
NM_058846,2894,clec-53,Protein CLEC-53,837.0,743.0,37.3257065949,0.887694145759
NM_001026435,1539,T03F1.12,Protein T03F1.12,1566.0,1538.0,38.7756827048,0.982120051086
NM_058851,1258,abf-2,Protein ABF-2,61.0,44.0,47.2045454545,0.72131147541
NM_058852,1970,abf-1,Protein ABF-1,5.0,5.0,41.8,1.0
NM_058853,3390,C50F2.4,Protein C50F2.4,1021.0,994.0,39.8319919517,0.973555337904
NR_050047,1021,21ur-13258,,0.0,0.0,NA,NA
NM_058855,2527,C50F2.5,Protein C50F2.5,809.0,777.0,37.8725868726,0.96044499382
NM_058857/NM_058856,2628,fkb-5,"Protein FKB-5, isoform a/Protein FKB-5, isoform b",10737.0,9929.0,43.9378587975,0.924746204713
NM_058858,1824,C50F2.7,Protein C50F2.7,107.0,67.0,39.4179104478,0.626168224299
